Usecase,Agent,Run,Score,Model
Freight Consolidation Planning 1,Brackett,1,0.39,Fused/multiple models
Freight Consolidation Planning 1,Brackett,2,0.94,Fused/multiple models
Freight Consolidation Planning 1,Brackett,3,0.697,Fused/multiple models
Freight Consolidation Planning 1,Claude,1,NA,Sonnet 5
Freight Consolidation Planning 1,Claude,2,NA,Sonnet 5
Goods Receipt Shortfall Follow-Up 1,Codex,1,0.695,Not recorded
Goods Receipt Shortfall Follow-Up 1,Brackett,1,0.89,Fused/multiple models
Goods Receipt Shortfall Follow-Up 1,Brackett,2,0.88,Fused/multiple models
Goods Receipt Shortfall Follow-Up 1,Brackett,3,0.835,Fused/multiple models
Goods Receipt Shortfall Follow-Up 1,Claude,1,NA,Sonnet 5
Goods Receipt Shortfall Follow-Up 1,Claude,2,NA,Sonnet 5
Inbound Sales Enquiry Routing 1,Brackett,1,0.94,Fused/multiple models
Inbound Sales Enquiry Routing 1,Brackett,2,0.92,Fused/multiple models
Inbound Sales Enquiry Routing 1,Brackett,3,0.778,Fused/multiple models
Inbound Sales Enquiry Routing 1,Claude,1,NA,Sonnet 5
Inbound Sales Enquiry Routing 1,Claude,2,NA,Sonnet 5
Job Requisition Broadcast 1,Brackett,1,0.95,Fused/multiple models
Job Requisition Broadcast 1,Brackett,2,0.96,Fused/multiple models
Job Requisition Broadcast 1,Brackett,3,0.95,Fused/multiple models
Job Requisition Broadcast 1,Claude,1,NA,Sonnet 5
Job Requisition Broadcast 1,Claude,2,NA,Sonnet 5
Job Requisition Triage 1,Brackett,1,0.95,Fused/multiple models
Job Requisition Triage 1,Brackett,2,0.83,Fused/multiple models
Job Requisition Triage 1,Brackett,3,0.725,Fused/multiple models
Job Requisition Triage 1,Claude,1,NA,Sonnet 5
Job Requisition Triage 1,Claude,2,0.9,Sonnet 5
Leave Request Eligibility Review 1,Codex,1,0.9,Not recorded
Leave Request Eligibility Review 1,Brackett,1,0.785,Fused/multiple models
Leave Request Eligibility Review 1,Brackett,2,0.78,Fused/multiple models
Leave Request Eligibility Review 1,Brackett,3,0.76,Fused/multiple models
Leave Request Eligibility Review 1,Claude,1,NA,Sonnet 5
Leave Request Eligibility Review 1,Claude,2,NA,Sonnet 5
Limited-Stock Order Allocation 1,Brackett,1,0.84,Fused/multiple models
Limited-Stock Order Allocation 1,Brackett,2,0.84,Fused/multiple models
Limited-Stock Order Allocation 1,Brackett,3,0.585,Fused/multiple models
Limited-Stock Order Allocation 1,Claude,1,NA,Sonnet 5
Limited-Stock Order Allocation 1,Claude,2,NA,Sonnet 5
Low-Stock Replenishment Sweep 1,Codex,1,0.29,Not recorded
Low-Stock Replenishment Sweep 1,Brackett,1,0.665,Fused/multiple models
Low-Stock Replenishment Sweep 1,Brackett,2,0.745,Fused/multiple models
Low-Stock Replenishment Sweep 1,Brackett,3,0.83,Fused/multiple models
Low-Stock Replenishment Sweep 1,Claude,1,0.6483,Sonnet 5
Low-Stock Replenishment Sweep 1,Claude,2,NA,Sonnet 5
New-Hire Onboarding Coordination 1,Codex,1,0.435,Not recorded
New-Hire Onboarding Coordination 1,Brackett,1,0.955,Fused/multiple models
New-Hire Onboarding Coordination 1,Brackett,2,0.91,Fused/multiple models
New-Hire Onboarding Coordination 1,Brackett,3,0.775,Fused/multiple models
New-Hire Onboarding Coordination 1,Claude,1,NA,Sonnet 5
New-Hire Onboarding Coordination 1,Claude,2,NA,Sonnet 5
Order Request Replenishment 1,Brackett,1,1.0,Fused/multiple models
Order Request Replenishment 1,Brackett,2,1.0,Fused/multiple models
Order Request Replenishment 1,Brackett,3,0.91,Fused/multiple models
Order Request Replenishment 1,Claude,1,NA,Sonnet 5
Order Request Replenishment 1,Claude,2,0.92,Sonnet 5
Purchase Invoice Reconciliation 1,Codex,1,0.895,Not recorded
Purchase Invoice Reconciliation 1,Brackett,1,1.0,Fused/multiple models
Purchase Invoice Reconciliation 1,Brackett,2,1.0,Fused/multiple models
Purchase Invoice Reconciliation 1,Brackett,3,0.9,Fused/multiple models
Purchase Invoice Reconciliation 1,Claude,1,NA,Sonnet 5
Purchase Invoice Reconciliation 1,Claude,2,NA,Sonnet 5
Recruiter Performance Scorecard 1,Codex,1,0.565,Not recorded
Recruiter Performance Scorecard 1,Brackett,1,0.925,Fused/multiple models
Recruiter Performance Scorecard 1,Brackett,2,0.925,Fused/multiple models
Recruiter Performance Scorecard 1,Brackett,3,0.8,Fused/multiple models
Recruiter Performance Scorecard 1,Claude,1,0.84,Sonnet 5
Recruiter Performance Scorecard 1,Claude,2,NA,Sonnet 5
Vehicle Maintenance Service Booking 1,Codex,1,0.8,Not recorded
Vehicle Maintenance Service Booking 1,Brackett,1,0.6,Fused/multiple models
Vehicle Maintenance Service Booking 1,Brackett,2,0.73,Fused/multiple models
Vehicle Maintenance Service Booking 1,Brackett,3,0.834,Fused/multiple models
Vehicle Maintenance Service Booking 1,Claude,1,NA,Sonnet 5
Vehicle Maintenance Service Booking 1,Claude,2,NA,Sonnet 5
